model,quantization,activation_precision,prefill_len,decode_len,prefill_latency,decode_latency,tokens_per_sec,prompt_tokens,completion_tokens,total_tokens,memory_mb,cpu_pct,temp_c,power_w,timestamp,source
SmolLM2-135M,None (Full Precision),32-bit,256,128,0.131,15.943,8.02860189424826,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940492,log
SmolLM2-135M,None (Full Precision),32-bit,256,128,0.131,17.148,7.464427338465128,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940511,log
SmolLM2-135M,None (Full Precision),32-bit,256,128,0.135,17.954,7.129330511306672,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940516,log
SmolLM2-135M,None (Full Precision),32-bit,256,512,0.153,80.979,6.322626853875696,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940532,log
SmolLM2-135M,None (Full Precision),32-bit,256,512,0.176,87.423,5.856582363908811,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940536,log
SmolLM2-135M,None (Full Precision),32-bit,256,512,0.177,74.643,6.8593170156612135,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940540,log
SmolLM2-135M,None (Full Precision),32-bit,1024,128,0.23,24.636,5.195648644260432,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940553,log
SmolLM2-135M,None (Full Precision),32-bit,1024,128,0.238,24.625,5.197969543147208,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940557,log
SmolLM2-135M,None (Full Precision),32-bit,1024,128,0.238,24.854,5.150076446447252,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940561,log
SmolLM2-135M,None (Full Precision),32-bit,1024,512,0.237,71.086,7.202543398137467,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940573,log
SmolLM2-135M,None (Full Precision),32-bit,1024,512,0.238,50.778,10.083106857300406,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940577,log
SmolLM2-135M,None (Full Precision),32-bit,1024,512,0.238,60.981,8.396057788491497,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940580,log
SmolLM2-135M,None (Full Precision),32-bit,2048,128,0.284,30.44,4.204993429697766,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940593,log
SmolLM2-135M,None (Full Precision),32-bit,2048,128,0.285,31.083,4.118006627416916,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940597,log
SmolLM2-135M,None (Full Precision),32-bit,2048,128,0.285,31.837,4.020479316518516,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940600,log
SmolLM2-135M,None (Full Precision),32-bit,2048,512,0.287,140.529,3.6433761003066985,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940615,log
SmolLM2-135M,None (Full Precision),32-bit,2048,512,0.286,102.399,5.000048828601842,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940618,log
SmolLM2-135M,None (Full Precision),32-bit,2048,512,0.286,83.117,6.1599913375121815,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940622,log
SmolLM2-135M,INT4,32-bit,256,128,0.614,28.511,4.489495282522535,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940634,log
SmolLM2-135M,INT4,32-bit,256,128,0.623,29.175,4.387317909168809,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940637,log
SmolLM2-135M,INT4,32-bit,256,128,0.616,29.227,4.379512094980669,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940641,log
SmolLM2-135M,INT4,32-bit,256,512,0.615,125.233,4.088379261057389,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940652,log
SmolLM2-135M,INT4,32-bit,256,512,0.62,125.771,4.070890745879416,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940656,log
SmolLM2-135M,INT4,32-bit,256,512,0.624,126.842,4.03651787262894,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940659,log
SmolLM2-135M,INT4,32-bit,1024,128,0.652,31.057,4.121454100524842,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940670,log
SmolLM2-135M,INT4,32-bit,1024,128,0.651,32.067,3.9916424985187264,0,0,0,-1.0,-1.0,-1.0,-1.0,2025-11-19T08:01:54.940674,log
